,Total no.,Doc no.,Dept.,Theme No.,Theme title,Authors,Author full names,Author(s) ID,Title,Year,SDG,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
,65,21,Mechanical Engineering,ME1.1,"Wind, Solar PV, and Wave Energy Conversion",Alomar Z.; Khoury G.; Rishmany J.; Daaboul M.,"Alomar, Zaki (57218710427); Khoury, Gerard (58408244900); Rishmany, Jihad (56426992700); Daaboul, Michel (25640685600)",57218710427; 58408244900; 56426992700; 25640685600,NUMERICAL AND EXPERIMENTAL STUDY ON THE EFFECT OF OVERLAP ON SAVONIUS WIND TURBINE,2023,"7,9",International Journal of Power and Energy Systems,43,10,,,,,4,10.2316/J.2023.203-0450,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163652046&doi=10.2316%2fJ.2023.203-0450&partnerID=40&md5=c02557ebab0908be9748e01a98e75980,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85163652046
,66,22,Mechanical Engineering,ME2.1,"Electrohydrodynamic Flows, Electrically Induced Phenomena & PIV Diagnostics",Nassar M.; Daaboul M.; Michel A.; Louste C.,"Nassar, Michelle (57210800292); Daaboul, Michel (25640685600); Michel, Anny (7201401518); Louste, Christophe (6508391507)",57210800292; 25640685600; 7201401518; 6508391507,Electro-optical Kerr effect in HFE-7100,2023,,Proceedings - IEEE International Conference on Dielectric Liquids,2023-June,,,,,,2,10.1109/ICDL59152.2023.10209331,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169297316&doi=10.1109%2fICDL59152.2023.10209331&partnerID=40&md5=95a3ef06cafe1c91012c0b4318f81c22,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85169297316
,67,23,Mechanical Engineering,ME2.1,"Electrohydrodynamic Flows, Electrically Induced Phenomena & PIV Diagnostics",Matar I.; Louste C.; Daaboul M.,"Matar, Ihssan (58556679400); Louste, Christophe (6508391507); Daaboul, Michel (25640685600)",58556679400; 6508391507; 25640685600,Numerical Estimation of the Electric Force Induced by a Cylinder-to-Cylinder EHD Device,2023,,Proceedings - IEEE International Conference on Dielectric Liquids,2023-June,,,,,,2,10.1109/ICDL59152.2023.10209166,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169289768&doi=10.1109%2fICDL59152.2023.10209166&partnerID=40&md5=95e7c529d0068b20e5facbd9754b2f2e,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85169289768
,68,24,Mechanical Engineering,ME2.3,Phase Change Materials & Building Energy Systems,Lahoud C.; Chahwan A.; Rishmany J.; Yehia C.; Daaboul M.,"Lahoud, Chawki (6507883511); Chahwan, Antoine (59487298400); Rishmany, Jihad (56426992700); Yehia, Chafic (59487260500); Daaboul, Michel (25640685600)",6507883511; 59487298400; 56426992700; 59487260500; 25640685600,Enhancing Energy Efficiency in Mediterranean Coastal Buildings Through PCM Integration,2024,7,Buildings,14,12,4023,,,,9,10.3390/buildings14124023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213082427&doi=10.3390%2fbuildings14124023&partnerID=40&md5=8cb0ea11a727b48b2b865e01eac2284e,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85213082427
,69,25,Mechanical Engineering,ME1.1,"Wind, Solar PV, and Wave Energy Conversion",Khoury G.; Alomar Z.; Sabat M.; Rishmany J.; Daaboul M.,"Khoury, Gerard (58408244900); Alomar, Zaki (57218710427); Sabat, Macole (56432431200); Rishmany, Jihad (56426992700); Daaboul, Michel (25640685600)",58408244900; 57218710427; 56432431200; 56426992700; 25640685600,IMPROVING THE EFFICIENCY OF SAVONIUS WIND TURBINE THROUGH SHIELDING: NUMERICAL AND EXPERIMENTAL STUDY,2025,7,International Journal of Power and Energy Systems,45,10,,,,,3,10.2316/J.2025.203-0554,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012220882&doi=10.2316%2fJ.2025.203-0554&partnerID=40&md5=8593c77a52a0d06a5515cea6b4b41981,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-105012220882
,70,26,Mechanical Engineering,ME2.1,"Electrohydrodynamic Flows, Electrically Induced Phenomena & PIV Diagnostics",Daaboul M.; Louste C.,"Daaboul, M. (25640685600); Louste, C. (6508391507)",25640685600; 6508391507,Validity of Particle Image Velocimetry Measurements in Electrohydrodynamic Flows,2025,,Experimental Techniques,,,,,,,1,10.1007/s40799-025-00806-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015168939&doi=10.1007%2fs40799-025-00806-4&partnerID=40&md5=1a2b5f6af70c95dcb4f5bf342005f3ef,Article,Final,,Scopus,2-s2.0-105015168939
,71,27,Mechanical Engineering,ME3.3,"Mechanical System Design, Structural Analysis & Applied Mechanics",Ghannoum M.; Assaad J.; Daaboul M.; El-Mir A.,"Ghannoum, Maria (57191378153); Assaad, Joseph (56589936700); Daaboul, Michel (25640685600); El-Mir, Abdulkader (57189462810)",57191378153; 56589936700; 25640685600; 57189462810,Deterministic and stochastic finite element modeling of reinforced concrete beams without stirrups containing plastic wastes,2025,13,International Journal of Building Pathology and Adaptation,43,4,,614,632,18,6,10.1108/IJBPA-10-2023-0156,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186547957&doi=10.1108%2fIJBPA-10-2023-0156&partnerID=40&md5=5ac559470e8bf78b743a40a69a1b0cdd,Article,Final,,Scopus,2-s2.0-85186547957
,72,28,Mechanical Engineering,ME2.1,"Electrohydrodynamic Flows, Electrically Induced Phenomena & PIV Diagnostics",Daaboul M.; Matar I.; Louste C.,"Daaboul, Michel (25640685600); Matar, Ihssan (58556679400); Louste, Christophe (6508391507)",25640685600; 58556679400; 6508391507,Impact of seeding particle properties on PIV accuracy in electrohydrodynamic systems,2026,,Journal of Electrostatics,140,,104261,,,,0,10.1016/j.elstat.2026.104261,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029643178&doi=10.1016%2fj.elstat.2026.104261&partnerID=40&md5=f0080e07b5822dd20a1a94cb2ba2c95a,Article,Final,,Scopus,2-s2.0-105029643178
,73,29,Mechanical Engineering,ME2.1,"Electrohydrodynamic Flows, Electrically Induced Phenomena & PIV Diagnostics",Matar I.; Daaboul M.; Louste C.,"Matar, I. (58556679400); Daaboul, M. (25640685600); Louste, C. (6508391507)",58556679400; 25640685600; 6508391507,Effect of polarity change on asymmetric cylinder-to-cylinder EHD device,2026,,Journal of Electrostatics,141,,104276,,,,0,10.1016/j.elstat.2026.104276,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032181411&doi=10.1016%2fj.elstat.2026.104276&partnerID=40&md5=9fd8137f9cff99d066407866cd27f4df,Article,Final,,Scopus,2-s2.0-105032181411
Ch. Lahoud,74,1,Mechanical Engineering,ME1.2,"Hybrid Energy Systems, Energy Planning, and Resource Nexus",Asmar J.A.; Lahoud C.; Brouche M.,"Asmar, Joseph Al (56470661800); Lahoud, Chawki (6507883511); Brouche, Marwan (6507344977)",56470661800; 6507883511; 6507344977,Decision-making strategy for cogeneration power systems integration in the Lebanese electricity grid,2017,"7,13",Energy Procedia,119,,,801,805,4,4,10.1016/j.egypro.2017.07.113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029542952&doi=10.1016%2fj.egypro.2017.07.113&partnerID=40&md5=79422ee0eb908a7d8451d0b809be0bbe,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85029542952
,75,2,Mechanical Engineering,ME1.2,"Hybrid Energy Systems, Energy Planning, and Resource Nexus",Asmar J.A.; Lahoud C.; Brouche M.,"Asmar, Joseph Al (56470661800); Lahoud, Chawki (6507883511); Brouche, Marwan (6507344977)",56470661800; 6507883511; 6507344977,Decision making based on data analysis and optimization algorithm applied for cogeneration systems integration into a grid,2018,"7,13",AIP Conference Proceedings,1968,,30062,,,,3,10.1063/1.5039249,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050770507&doi=10.1063%2f1.5039249&partnerID=40&md5=5c4e8d841048f2366088cf0ac5c13848,Conference paper,Final,,Scopus,2-s2.0-85050770507
,76,3,Mechanical Engineering,ME1.2,"Hybrid Energy Systems, Energy Planning, and Resource Nexus",Chawki L.; Marwan E.B.; Jad D.; Joseph A.A.,"Chawki, Lahoud (6507883511); Marwan, El Brouche (6507344977); Jad, Dakroub (56479240600); Joseph, Al Asmar (56470661800)",6507883511; 6507344977; 56479240600; 56470661800,Multi-objective optimization for CCHP systems based on regressions considering economic and environmental aspects,2019,7,International Journal of Scientific and Technology Research,8,12,,379,385,6,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077590305&partnerID=40&md5=dd1dba4160e0628f3166f95e08851618,Article,Final,,Scopus,2-s2.0-85077590305
,77,4,Mechanical Engineering,ME1.2,"Hybrid Energy Systems, Energy Planning, and Resource Nexus",Lahoud C.; Asmar J.A.; Brouche M.,"Lahoud, Chawki (6507883511); Asmar, Joseph Al (56470661800); Brouche, Marwan (6507344977)",6507883511; 56470661800; 6507344977,Models of performance of a CCHP system integration,2019,,AIP Conference Proceedings,2123,,30022,,,,1,10.1063/1.5117053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069789336&doi=10.1063%2f1.5117053&partnerID=40&md5=f1f5cb8e4f1d7edbd91a757e3dc16a20,Conference paper,Final,,Scopus,2-s2.0-85069789336
,78,5,Mechanical Engineering,ME2.4,Sustainable Solar Thermal Processes for Cooling & Drying,Brouche M.; Lahoud C.; Lahoud M.F.; Lahoud C.,"Brouche, Marwan (6507344977); Lahoud, Chawki (6507883511); Lahoud, Mirna F. (57220092799); Lahoud, Christy (57220068896)",6507344977; 6507883511; 57220092799; 57220068896,Solar drying simulation of different products: Lebanese case,2020,7.9,Energy Reports,6,,,548,564,16,10,10.1016/j.egyr.2020.09.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096835021&doi=10.1016%2fj.egyr.2020.09.032&partnerID=40&md5=4824eaabae2939090ee9995068ee6eb5,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85096835021
,79,6,Mechanical Engineering,ME2.4,Sustainable Solar Thermal Processes for Cooling & Drying,Lahoud C.; Brouche M.; Lahoud M.F.; Lahoud C.,"Lahoud, Chawki (6507883511); Brouche, Marwan (6507344977); Lahoud, Mirna F. (57220092799); Lahoud, Christy (57220068896)",6507883511; 6507344977; 57220092799; 57220068896,Performance comparison between direct and combined solar drying with underfloor heating,2020,,AIP Conference Proceedings,2307,,20047,,,,1,10.1063/5.0032657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098865815&doi=10.1063%2f5.0032657&partnerID=40&md5=575e8bf2d69fb2b66fee895a7b1374fc,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85098865815
,80,7,Mechanical Engineering,ME2.3,Phase Change Materials & Building Energy Systems,Eid S.; Brouche M.; Lahoud C.; Lahoud C.,"Eid, Salam (57224215670); Brouche, Marwan (6507344977); Lahoud, Chawki (6507883511); Lahoud, Christy (57220068896)",57224215670; 6507344977; 6507883511; 57220068896,Phase change materials technologies review and future application in Lebanon: Part I,2021,"7,13",Key Engineering Materials,886,,,228,240,12,6,10.4028/www.scientific.net/KEM.886.228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107298308&doi=10.4028%2fwww.scientific.net%2fKEM.886.228&partnerID=40&md5=a6a125cbb5d28cb97de290a7a8010c39,Book chapter,Final,,Scopus,2-s2.0-85107298308
,81,8,Mechanical Engineering,ME2.4,Sustainable Solar Thermal Processes for Cooling & Drying,Lahoud C.; Brouche M.E.; Lahoud C.; Hmadi M.,"Lahoud, Christy (57220068896); Brouche, Marwan El (6507344977); Lahoud, Chawki (6507883511); Hmadi, Mohamed (57205876417)",57220068896; 6507344977; 6507883511; 57205876417,A Review of single-effect solar absorption chillers and its perspective on Lebanese case,2021,"7,13",Energy Reports,7,,,12,22,10,32,10.1016/j.egyr.2021.09.052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119613162&doi=10.1016%2fj.egyr.2021.09.052&partnerID=40&md5=ed0711f492ad830965d2ae93254ded4c,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85119613162
,82,9,Mechanical Engineering,ME2.3,Phase Change Materials & Building Energy Systems,Eid S.; Brouche M.; Lahoud C.; Lahoud C.,"Eid, Salam (57224215670); Brouche, Marwan (6507344977); Lahoud, Chawki (6507883511); Lahoud, Christy (57220068896)",57224215670; 6507344977; 6507883511; 57220068896,Phase change materials technologies review and future application in Lebanon: Part II,2021,13,Key Engineering Materials,886,,,256,270,14,5,10.4028/www.scientific.net/KEM.886.256,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107311654&doi=10.4028%2fwww.scientific.net%2fKEM.886.256&partnerID=40&md5=ccc8d2c50b0a42cb1c84f78605609cf8,Book chapter,Final,,Scopus,2-s2.0-85107311654
,83,10,Mechanical Engineering,ME1.2,"Hybrid Energy Systems, Energy Planning, and Resource Nexus",Saad S.; Lahoud C.; Brouche M.; Hmadi M.; Ghandour M.; Mourtada A.,"Saad, Sabine (57202805775); Lahoud, Chawki (6507883511); Brouche, Marwan (6507344977); Hmadi, Mohamed (57205876417); Ghandour, Mazen (42861425800); Mourtada, Adel (55601654900)",57202805775; 6507883511; 6507344977; 57205876417; 42861425800; 55601654900,Advanced tool for elaborating a sustainable energy and climate action plan at municipalities level,2021,"6,7,8,13,17",Energy Reports,7,,,51,69,18,7,10.1016/j.egyr.2021.09.049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119604827&doi=10.1016%2fj.egyr.2021.09.049&partnerID=40&md5=2296219c3468aca0431c5eb00e79a032,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85119604827
,84,11,Mechanical Engineering,ME2.3,Phase Change Materials & Building Energy Systems,Eid S.; Lahoud C.; Brouche M.; Hmadi M.; Lahoud C.,"Eid, Salam (57224215670); Lahoud, Chawki (6507883511); Brouche, Marwan (6507344977); Hmadi, Mohamed (57205876417); Lahoud, Christy (57220068896)",57224215670; 6507883511; 6507344977; 57205876417; 57220068896,Modeling and Validation of the Enthalpy-Temperature Curve for Phase Change Materials,2022,,Materials Science Forum,1050 MSF,,,149,159,10,0,10.4028/www.scientific.net/MSF.1050.149,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123292298&doi=10.4028%2fwww.scientific.net%2fMSF.1050.149&partnerID=40&md5=832b3c8f512eee36b6ad4eab2d5c6fd9,Book chapter,Final,,Scopus,2-s2.0-85123292298
,85,12,Mechanical Engineering,ME2.4,Sustainable Solar Thermal Processes for Cooling & Drying,Lahoud C.; Brouche M.; Lahoud C.; Hmadi M.,"Lahoud, Christy (57220068896); Brouche, Marwan (6507344977); Lahoud, Chawki (6507883511); Hmadi, Mohamed (57205876417)",57220068896; 6507344977; 6507883511; 57205876417,Thermo-Economic Performance of a Solar-Driven Single-Effect Absorption Chiller in Lebanon,2023,"7,13","2023 6th International Conference on Renewable Energy for Developing Countries, REDEC 2023",,,,90,95,5,2,10.1109/REDEC58286.2023.10208167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169467036&doi=10.1109%2fREDEC58286.2023.10208167&partnerID=40&md5=2b11f2f193737ef887b558921488e338,Conference paper,Final,,Scopus,2-s2.0-85169467036
,86,13,Mechanical Engineering,ME2.4,Sustainable Solar Thermal Processes for Cooling & Drying,Lahoud C.; Brouche M.; Lahoud C.; Hmadi M.,"Lahoud, Christy (57220068896); Brouche, Marwan (6507344977); Lahoud, Chawki (6507883511); Hmadi, Mohamed (57205876417)",57220068896; 6507344977; 6507883511; 57205876417,Thermo-Economic Comparison of Solar Thermal Cooling and Solar Photovoltaic Cooling Systems for a Typical Residential Building - Lebanese Case Study,2023,"7,13","2023 IEEE 4th International Multidisciplinary Conference on Engineering Technology, IMCET 2023",,,,150,156,6,1,10.1109/IMCET59736.2023.10368259,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182921838&doi=10.1109%2fIMCET59736.2023.10368259&partnerID=40&md5=38568e5ef6609f086f9f3f7282b7e7c0,Conference paper,Final,,Scopus,2-s2.0-85182921838
,87,14,Mechanical Engineering,ME2.3,Phase Change Materials & Building Energy Systems,Lahoud C.; Chahwan A.; Rishmany J.; Yehia C.; Daaboul M.,"Lahoud, Chawki (6507883511); Chahwan, Antoine (59487298400); Rishmany, Jihad (56426992700); Yehia, Chafic (59487260500); Daaboul, Michel (25640685600)",6507883511; 59487298400; 56426992700; 59487260500; 25640685600,Enhancing Energy Efficiency in Mediterranean Coastal Buildings Through PCM Integration,2024,7,Buildings,14,12,4023,,,,9,10.3390/buildings14124023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213082427&doi=10.3390%2fbuildings14124023&partnerID=40&md5=8cb0ea11a727b48b2b865e01eac2284e,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85213082427
,88,15,Mechanical Engineering,ME2.3,Phase Change Materials & Building Energy Systems,Geitani S.; Chedid C.; Lahoud C.; Harmouche J.; Youssef S.; Kesserwani J.,"Geitani, Sayed (60173261800); Chedid, Christian (60172650800); Lahoud, Chawki (6507883511); Harmouche, Jamal (59907527700); Youssef, Sami (7007180627); Kesserwani, Joseph (59707350500)",60173261800; 60172650800; 6507883511; 59907527700; 7007180627; 59707350500,Investigation of the optimal PCM wall location into buildings envelope under Mediteranean climate,2025,"7,12,13","2025 7th International Conference on Renewable Energy for Developing Countries, REDEC 2025",,,,,,,1,10.1109/REDEC65313.2025.11190312,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021086018&doi=10.1109%2fREDEC65313.2025.11190312&partnerID=40&md5=7f5eebb307aa3f558d1b15c847a197be,Conference paper,Final,,Scopus,2-s2.0-105021086018
,89,16,Mechanical Engineering,ME1.2,"Hybrid Energy Systems, Energy Planning, and Resource Nexus",Alfakih Z.; Kesserwani J.; Lahoud C.; Rachid E.,"Alfakih, Zeinab (60022921700); Kesserwani, Joseph (59707350500); Lahoud, Chawki (6507883511); Rachid, Elias (55925103000)",60022921700; 59707350500; 6507883511; 55925103000,REVIEW OF RENEWABLE ENERGY HYBRID SYSTEMS FOR ALTERNATIVE SOLUTIONS,2025,"7,8,9,13",International Journal of Power and Energy Systems,45,10,,1,9,8,0,10.2316/J.2025.203-0572,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012185055&doi=10.2316%2fJ.2025.203-0572&partnerID=40&md5=7e903bfc69ffa65dc4358ac4e4071deb,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105012185055
,90,17,Mechanical Engineering,ME1.1,"Wind, Solar PV, and Wave Energy Conversion",Saad J.M.; Lahoud C.; Youssef S.; Kesserwani J.,"Saad, Jose Marie (60172890800); Lahoud, Chawki (6507883511); Youssef, Sami (7007180627); Kesserwani, Joseph (59707350500)",60172890800; 6507883511; 7007180627; 59707350500,A Technical Study on Wave Energy in Lebanon,2025,7,"2025 7th International Conference on Renewable Energy for Developing Countries, REDEC 2025",,,,,,,0,10.1109/REDEC65313.2025.11190256,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021077059&doi=10.1109%2fREDEC65313.2025.11190256&partnerID=40&md5=3f44b3a2bd5f4203707c229d2b05722a,Conference paper,Final,,Scopus,2-s2.0-105021077059
,91,18,Mechanical Engineering,ME2.4,Sustainable Solar Thermal Processes for Cooling & Drying,Al Hadidi W.S.; Lahoud C.; Raffoul J.; Kesserwani J.; Youssef S.,"Al Hadidi, Wael Saad (60173388600); Lahoud, Chawki (6507883511); Raffoul, Jeanpierre (60173135900); Kesserwani, Joseph (59707350500); Youssef, Sami (7007180627)",60173388600; 6507883511; 60173135900; 59707350500; 7007180627,Integrating Passive Energy Conservation Measures in Mediterranean Residential Buildings,2025,,"2025 7th International Conference on Renewable Energy for Developing Countries, REDEC 2025",,,,,,,0,10.1109/REDEC65313.2025.11190233,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021077068&doi=10.1109%2fREDEC65313.2025.11190233&partnerID=40&md5=97977316e71d1031d0449daf16a4c0f0,Conference paper,Final,,Scopus,2-s2.0-105021077068
,92,19,Mechanical Engineering,ME2.3,Phase Change Materials & Building Energy Systems,Lahoud C.; Harake R.; Fatfat M.; Bazi S.,"Lahoud, Chawki (6507883511); Harake, Rawad (59552260400); Fatfat, Mira (59552049300); Bazi, Sarah (59551716600)",6507883511; 59552260400; 59552049300; 59551716600,Enhancing Energy Efficiency in Mediterranean Large-Scale Buildings: A Study on Mobilized Thermal-Energy-Storage Systems,2025,7,Buildings,15,3,464,,,,5,10.3390/buildings15030464,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217552920&doi=10.3390%2fbuildings15030464&partnerID=40&md5=03f75215e19fc1475e766dce9baaccc0,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85217552920
,93,20,Mechanical Engineering,ME2.4,Sustainable Solar Thermal Processes for Cooling & Drying,Youssef S.; Lahoud C.B.; Fatfat M.; Al Harake R.,"Youssef, Sami (7007180627); Lahoud, Chawki Bassam (6507883511); Fatfat, Mira (59552049300); Al Harake, Rawad (60105729400)",7007180627; 6507883511; 59552049300; 60105729400,Performance assessment and numerical simulation of Beechwood solar drying in Lebanon: a parametric approach,2025,"7,9,14",Management of Environmental Quality,,,,1,25,24,0,10.1108/MEQ-06-2025-0425,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016515435&doi=10.1108%2fMEQ-06-2025-0425&partnerID=40&md5=e0b6bd827fe305b806c16241067666cd,Article,Article in press,,Scopus,2-s2.0-105016515435
,94,21,Mechanical Engineering,ME2.3,Phase Change Materials & Building Energy Systems,Kesserwani J.; Lahoud C.; Al Asmar J.; Lahoud C.,"Kesserwani, Joseph (59707350500); Lahoud, Chawki (6507883511); Al Asmar, Joseph (56470661800); Lahoud, Christy (57220068896)",59707350500; 6507883511; 56470661800; 57220068896,"On the Technical, Economic, and Environmental Impact of Mobilized Thermal Energy Storage: A Case Study",2025,"8,13",Sustainability (Switzerland),17,6,2542,,,,3,10.3390/su17062542,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000859570&doi=10.3390%2fsu17062542&partnerID=40&md5=3f005088e037fb8034824aab8af8a805,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105000859570
,95,22,Mechanical Engineering,ME2.3,Phase Change Materials & Building Energy Systems,Lahoud C.; Harake R.; Fatfat M.; Harmouche J.; Kesserwani J.; Youssef S.,"Lahoud, Chawki (6507883511); Harake, Rawad (59552260400); Fatfat, Mira (59552049300); Harmouche, Jamal (59907527700); Kesserwani, Joseph (59707350500); Youssef, Sami (7007180627)",6507883511; 59552260400; 59552049300; 59907527700; 59707350500; 7007180627,Evaluating Optimal PCM Integration in Building Envelopes Across Lebanese Regions,2025,7,"2025 7th International Conference on Renewable Energy for Developing Countries, REDEC 2025",,,,,,,0,10.1109/REDEC65313.2025.11190241,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021089356&doi=10.1109%2fREDEC65313.2025.11190241&partnerID=40&md5=892a531805bd2ce39cdc789fbcfbc2f8,Conference paper,Final,,Scopus,2-s2.0-105021089356
,96,23,Mechanical Engineering,ME1.1,"Wind, Solar PV, and Wave Energy Conversion",Rishmany J.; Lahoud C.; Harmouche J.; Imad R.; Saba N.,"Rishmany, Jihad (56426992700); Lahoud, Chawki (6507883511); Harmouche, Jamal (59907527700); Imad, Rodrigue (26767816900); Saba, Nicolas (36706524000)",56426992700; 6507883511; 59907527700; 26767816900; 36706524000,Advancements in Solar Tracking: A Comprehensive Review of Image-Processing Techniques,2026,7,Sustainability (Switzerland),18,2,1117,,,,1,10.3390/su18021117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028917157&doi=10.3390%2fsu18021117&partnerID=40&md5=9a401465239ec48106c00c1db91828d0,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105028917157
,97,24,Mechanical Engineering,ME2.4,Sustainable Solar Thermal Processes for Cooling & Drying,Al Asmar J.; Kesserwani J.; Harmouche J.; Imad R.; Lahoud C.,"Al Asmar, Joseph (56470661800); Kesserwani, Joseph (59707350500); Harmouche, Jamal (59907527700); Imad, Rodrigue (26767816900); Lahoud, Chawki (6507883511)",56470661800; 59707350500; 59907527700; 26767816900; 6507883511,Towards a sustainable energy future: a comparative analysis of environmental and economic impacts of energy sources,2026,"7,8,12,13,17",Management of Environmental Quality,37,2,,376,404,28,0,10.1108/MEQ-01-2025-0031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005806257&doi=10.1108%2fMEQ-01-2025-0031&partnerID=40&md5=ad7f6e49c92e2a9df1d0ba9f18abe4e2,Article,Final,,Scopus,2-s2.0-105005806257
A. Bayssari,98,1,Mechanical Engineering,ME3.1,Composite Materials & Fracture Mechanics,El Bayssari A.M.; Jacquemin F.; Péron M.; Barasinski A.; Daghia F.; Guillon D.,"El Bayssari, Anna Maria (57345252600); Jacquemin, Frédéric (55891052600); Péron, Mael (56209136700); Barasinski, Anaïs (37020090800); Daghia, Fédérica (16033068900); Guillon, Damien (56286325100)",57345252600; 55891052600; 56209136700; 37020090800; 16033068900; 56286325100,Residual stresses developed in thermoplastic composites during laser-assisted tape laying,2021,9,ESAFORM 2021 - 24th International Conference on Material Forming,,,2667,,,,0,10.25518/esaform21.2667,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119360803&doi=10.25518%2fesaform21.2667&partnerID=40&md5=6c35d1f8efa629cf7c05e4a6881903d6,Conference paper,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85119360803
,99,2,Mechanical Engineering,ME3.1,Composite Materials & Fracture Mechanics,El Bayssari A.M.; Péron M.; Barasinski A.; Jacquemin F.; Daghia F.; Guillon D.,"El Bayssari, Anna Maria (57345252600); Péron, Mael (56209136700); Barasinski, Anaïs (37020090800); Jacquemin, Frédéric (55891052600); Daghia, Federica (16033068900); Guillon, Damien (56286325100)",57345252600; 56209136700; 37020090800; 55891052600; 16033068900; 56286325100,A numerical and experimental identification of crystallinity gradients in carbon fiber reinforced thermoplastic composites obtained by laser assisted filament winding,2024,9,Journal of Composite Materials,58,3,,327,342,15,2,10.1177/00219983231223568,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180708866&doi=10.1177%2f00219983231223568&partnerID=40&md5=d1daaf7a311009194855c1a234e1ba1a,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85180708866
,100,3,Mechanical Engineering,ME3.1,Composite Materials & Fracture Mechanics,Péron M.; Bayssari A.-M.E.; Barasinski A.; Jacquemin F.; Daghia F.; Guillon D.,"Péron, Mael (56209136700); Bayssari, Anna-Maria El (60232986300); Barasinski, Anaïs (37020090800); Jacquemin, Frédéric (55891052600); Daghia, Federica (16033068900); Guillon, Damien (56286325100)",56209136700; 60232986300; 37020090800; 55891052600; 16033068900; 56286325100,Residual stresses and strains during laser assisted tape placement of thermoplastic composite: Multi-physical modelling and experimental validation,2026,9,Composites Part A: Applied Science and Manufacturing,202,,109478,,,,0,10.1016/j.compositesa.2025.109478,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024441971&doi=10.1016%2fj.compositesa.2025.109478&partnerID=40&md5=634d40cdbbded818ea9918631fdd62ee,Article,Final,,Scopus,2-s2.0-105024441971
